                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1707,                  6.664,                 2.4322,                0.00347,                    0.4,                 0.0083,                0.00348,                  2.107,                 7.5164,                 2.8979,                  7e-05,                  7e-05,                  7e-05
                      2,                  1.529,                 3.3744,                  1.925,                0.62495,                0.89073,                0.82178,                0.53363,                 1.1392,                   4.28,                 1.7384,             0.00014851,             0.00014851,             0.00014851
                      3,                 1.2685,                 1.9709,                  1.618,                0.83617,                 0.9015,                0.98842,                0.67072,                 1.1309,                  2.527,                 1.8865,             0.00022545,             0.00022545,             0.00022545
                      4,                 1.0455,                 1.7036,                 1.5168,                0.89026,                0.95239,                  0.995,                0.73793,                0.97023,                 2.0399,                 1.6447,             0.00030079,             0.00030079,             0.00030079
                      5,                 1.1112,                 1.4973,                 1.5684,                0.93802,                0.83333,                  0.995,                0.70195,                 1.0413,                 2.1739,                 1.7211,             0.00037456,             0.00037456,             0.00037456
                      6,                 1.1099,                 1.2013,                  1.542,                0.92918,                0.83333,                0.86606,                0.66434,                0.93679,                 2.3725,                 1.5801,             0.00044674,             0.00044674,             0.00044674
                      7,                 1.1211,                 1.1265,                 1.5292,                0.82625,                0.93765,                  0.995,                 0.7526,                0.93878,                 1.6971,                 1.5886,             0.00051733,             0.00051733,             0.00051733
                      8,                 1.0288,                 1.0692,                 1.4884,                 0.9615,                0.98566,                  0.995,                0.75607,                0.91916,                0.86699,                 1.6061,             0.00058634,             0.00058634,             0.00058634
                      9,                 1.0087,                  1.009,                 1.4032,                0.89244,                0.82562,                0.95676,                0.68771,                 1.0484,                 1.9882,                 1.7727,             0.00065377,             0.00065377,             0.00065377
                     10,                 1.2016,                 1.0843,                 1.6081,                0.85918,                0.89003,                0.97548,                0.68436,                 1.1168,                0.99865,                 1.7778,             0.00071961,             0.00071961,             0.00071961
                     11,                 1.0451,                0.86086,                 1.4761,                 0.7935,                0.81667,                0.82723,                0.60267,                 1.0185,                 2.0133,                 1.7028,             0.00078387,             0.00078387,             0.00078387
                     12,                0.98699,                0.82602,                  1.404,                0.95441,                0.82601,                0.89619,                  0.674,                0.93424,                 1.1523,                 1.6115,             0.00084654,             0.00084654,             0.00084654
                     13,                0.98495,                0.80642,                 1.4324,                0.89007,                0.86802,                0.94713,                0.68833,                 1.0501,                0.87616,                 1.7037,              0.0008812,              0.0008812,              0.0008812
                     14,                0.97096,                0.77909,                 1.3944,                0.90088,                0.90807,                0.99208,                0.73433,                0.93444,                0.80758,                 1.5802,              0.0008713,              0.0008713,              0.0008713
                     15,                  0.992,                0.71928,                 1.3847,                0.97273,                0.97003,                  0.995,                0.73103,                0.94833,                0.66219,                 1.5876,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0426,                0.78321,                 1.4609,                0.97618,                0.98624,                0.99341,                0.73989,                0.94171,                0.65598,                  1.568,              0.0008515,              0.0008515,              0.0008515
                     17,                0.99338,                0.71526,                 1.4404,                 0.9447,                 0.9818,                  0.995,                0.73163,                0.97859,                0.64893,                 1.5942,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0006,                0.83055,                 1.4021,                0.83084,                0.94057,                  0.966,                0.73662,                0.88304,                0.76668,                 1.5236,              0.0008317,              0.0008317,              0.0008317
                     19,                0.98623,                0.65391,                 1.3862,                0.90682,                0.96667,                0.98898,                0.75538,                0.92289,                0.69737,                 1.5837,              0.0008218,              0.0008218,              0.0008218
                     20,                0.95735,                0.62525,                 1.3668,                0.91695,                0.98416,                0.98776,                 0.7614,                0.88304,                0.76999,                 1.5496,              0.0008119,              0.0008119,              0.0008119
                     21,                0.98352,                0.64131,                 1.4165,                0.88794,                0.99824,                  0.995,                0.73209,                0.96645,                0.70991,                 1.6272,               0.000802,               0.000802,               0.000802
                     22,                 1.0335,                0.71472,                 1.4228,                0.90371,                0.99252,                  0.995,                0.70576,                 1.0884,                0.67923,                 1.8024,              0.0007921,              0.0007921,              0.0007921
                     23,                0.97095,                0.65094,                 1.4264,                0.75044,                0.93333,                0.89733,                0.68462,                0.88739,                0.79338,                  1.557,              0.0007822,              0.0007822,              0.0007822
                     24,                0.97663,                0.65646,                  1.429,                 0.9013,                0.98112,                0.95319,                0.74459,                0.83408,                 0.6573,                 1.4983,              0.0007723,              0.0007723,              0.0007723
                     25,                0.98433,                0.66009,                  1.399,                0.92015,                0.94267,                0.97936,                0.75041,                0.87251,                0.73528,                 1.5288,              0.0007624,              0.0007624,              0.0007624
                     26,                0.93427,                0.66334,                 1.3481,                0.83749,                 0.9233,                0.97699,                 0.7277,                0.92025,                0.79745,                 1.5827,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.9232,                0.57957,                 1.3368,                0.88599,                0.88576,                0.96155,                0.73143,                 0.9263,                0.74731,                 1.5948,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.0107,                 0.6933,                 1.4913,                0.94799,                0.97945,                  0.995,                0.79224,                0.80876,                0.47911,                 1.4469,              0.0007327,              0.0007327,              0.0007327
                     29,                0.93717,                0.59394,                 1.3592,                0.85626,                0.94242,                0.98658,                0.76436,                0.85028,                0.57812,                 1.4615,              0.0007228,              0.0007228,              0.0007228
                     30,                0.90681,                 0.5974,                 1.3664,                0.81532,                0.96543,                 0.9946,                0.77574,                0.85201,                0.60754,                 1.4705,              0.0007129,              0.0007129,              0.0007129
                     31,                0.97746,                0.57384,                 1.3707,                0.94874,                      1,                  0.995,                0.76411,                0.88458,                0.53476,                 1.5182,               0.000703,               0.000703,               0.000703
                     32,                 1.0101,                0.59342,                 1.3721,                0.98234,                      1,                  0.995,                0.78205,                0.81858,                0.41909,                 1.4245,              0.0006931,              0.0006931,              0.0006931
                     33,                0.91391,                0.53846,                 1.3289,                0.98714,                      1,                  0.995,                0.78412,                0.83015,                0.41219,                 1.4546,              0.0006832,              0.0006832,              0.0006832
                     34,                0.92827,                0.58479,                 1.3892,                0.97559,                      1,                  0.995,                0.78683,                0.79326,                0.45729,                 1.3977,              0.0006733,              0.0006733,              0.0006733
                     35,                0.90856,                0.58978,                 1.3677,                0.97127,                0.97619,                  0.995,                0.78519,                0.81594,                0.59484,                 1.4411,              0.0006634,              0.0006634,              0.0006634
                     36,                0.87266,                0.53919,                 1.3427,                0.97651,                0.98382,                  0.995,                0.78814,                0.82937,                0.52435,                 1.4625,              0.0006535,              0.0006535,              0.0006535
                     37,                0.87556,                0.52726,                 1.3171,                0.97803,                      1,                  0.995,                0.79158,                 0.8235,                 0.4056,                 1.4338,              0.0006436,              0.0006436,              0.0006436
                     38,                0.91026,                0.54016,                 1.3377,                0.98851,                      1,                  0.995,                0.79132,                 0.8242,                0.40009,                 1.4061,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.8718,                0.51133,                  1.307,                0.99076,                      1,                  0.995,                0.81371,                0.76519,                0.37977,                  1.368,              0.0006238,              0.0006238,              0.0006238
                     40,                0.91796,                0.54562,                 1.3502,                0.99164,                      1,                  0.995,                0.80552,                0.75227,                0.37692,                 1.3578,              0.0006139,              0.0006139,              0.0006139
                     41,                0.86433,                 0.5321,                 1.3437,                0.98875,                      1,                  0.995,                0.79182,                0.75962,                0.35061,                 1.3659,               0.000604,               0.000604,               0.000604
                     42,                0.89397,                0.54093,                 1.2986,                0.99216,                      1,                  0.995,                0.80037,                0.78882,                0.34415,                 1.4074,              0.0005941,              0.0005941,              0.0005941
                     43,                0.90335,                0.55465,                 1.3579,                0.99186,                      1,                  0.995,                0.81156,                0.75073,                0.36792,                 1.3497,              0.0005842,              0.0005842,              0.0005842
                     44,                0.86864,                0.53599,                 1.3228,                0.98631,                      1,                  0.995,                 0.8228,                0.72785,                0.36923,                 1.3381,              0.0005743,              0.0005743,              0.0005743
                     45,                0.85675,                0.51041,                 1.2854,                0.99264,                      1,                  0.995,                0.81202,                0.74156,                0.36404,                 1.3446,              0.0005644,              0.0005644,              0.0005644
                     46,                0.84178,                0.51867,                 1.3159,                0.99276,                      1,                  0.995,                0.80019,                0.76037,                0.34525,                 1.3484,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.8408,                0.48107,                 1.2718,                0.99221,                      1,                  0.995,                0.80838,                0.74483,                0.34004,                 1.3384,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.8586,                0.46513,                 1.2781,                0.99665,                      1,                  0.995,                0.81592,                 0.7357,                0.33224,                 1.3186,              0.0005347,              0.0005347,              0.0005347
                     49,                0.86263,                0.49282,                 1.2688,                0.98502,                      1,                  0.995,                0.79755,                0.81221,                0.37697,                 1.3787,              0.0005248,              0.0005248,              0.0005248
                     50,                0.81007,                0.45112,                 1.2695,                0.99381,                      1,                  0.995,                0.81424,                0.78015,                0.36653,                 1.3611,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.8559,                0.47619,                 1.2789,                0.99136,                      1,                  0.995,                0.80612,                0.78528,                0.35775,                 1.3847,               0.000505,               0.000505,               0.000505
                     52,                0.81625,                0.46792,                 1.2448,                0.99008,                      1,                  0.995,                0.80843,                0.76962,                0.34167,                 1.3686,              0.0004951,              0.0004951,              0.0004951
                     53,                0.79974,                0.44986,                  1.227,                 0.9913,                      1,                  0.995,                0.82232,                0.71209,                0.32669,                 1.3086,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.7873,                0.43443,                 1.2836,                0.99589,                      1,                  0.995,                0.81531,                0.71539,                0.32733,                 1.3216,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.7821,                0.44026,                  1.279,                0.99396,                      1,                  0.995,                0.82691,                0.70929,                0.33388,                 1.3036,              0.0004654,              0.0004654,              0.0004654
                     56,                0.83245,                0.49263,                 1.3013,                0.99365,                      1,                  0.995,                0.84303,                0.68406,                0.32218,                 1.2856,              0.0004555,              0.0004555,              0.0004555
                     57,                0.74303,                0.40497,                 1.2248,                0.99479,                      1,                  0.995,                0.83756,                0.68151,                 0.3082,                 1.2949,              0.0004456,              0.0004456,              0.0004456
                     58,                0.77733,                0.43913,                 1.2168,                0.99689,                      1,                  0.995,                0.83673,                0.67256,                0.30157,                 1.2758,              0.0004357,              0.0004357,              0.0004357
                     59,                0.76516,                0.45403,                 1.2462,                 0.9957,                      1,                  0.995,                0.83081,                0.68091,                0.30371,                 1.2824,              0.0004258,              0.0004258,              0.0004258
                     60,                0.75992,                0.42394,                 1.2181,                0.99426,                      1,                  0.995,                0.83035,                0.68782,                0.29774,                  1.285,              0.0004159,              0.0004159,              0.0004159
